block,species,chr,chr_beg,chr_end,orientation
306,CP009611.1,1,1225108,1244807,+
306,CP009748.1,1,1239198,1258692,+
305,CP002905.1,1,4000394,4005687,+
305,CP002183.1,1,3819736,3825034,+
304,CP002905.1,1,3409160,3421381,+
304,CP002183.1,1,3251383,3263607,+
303,CP002905.1,1,2073207,2079911,+
303,CP002183.1,1,1924842,1931533,+
302,CP002905.1,1,212976,220844,+
302,CP002905.1,1,273453,281321,+
301,CP002905.1,1,166018,189260,+
301,CP002905.1,1,226495,249737,+
300,CP009749.1,1,3935473,3943133,+
300,CP009611.1,1,3958074,3965769,+
300,CP009748.1,1,3851846,3859554,+
299,CP009749.1,1,3883804,3891664,+
299,CP009611.1,1,3904673,3912515,+
299,CP009748.1,1,3807318,3816657,+
298,CP009749.1,1,3865021,3871634,+
298,CP009611.1,1,3886952,3893620,+
298,CP009748.1,1,3792826,3799538,+
297,CP009749.1,1,3850589,3857022,+
297,CP009611.1,1,3874162,3880577,+
297,CP009748.1,1,3780192,3786634,+
296,CP009749.1,1,3824388,3843290,+
296,CP009611.1,1,3847969,3866863,+
296,CP009748.1,1,3752009,3770545,+
295,CP009749.1,1,3791773,3808905,+
295,CP009611.1,1,3815355,3832486,+
295,CP009748.1,1,3719429,3736527,+
294,CP009749.1,1,3779023,3784454,+
294,CP009611.1,1,3795953,3801383,+
293,CP009749.1,1,3748838,3766890,+
293,CP009611.1,1,3763454,3780879,+
292,CP009749.1,1,3732985,3738892,+
292,CP009611.1,1,3747604,3753511,+
291,CP009749.1,1,3719726,3732854,+
291,CP009611.1,1,3734343,3747473,+
290,CP009749.1,1,3672622,3678039,+
290,CP009611.1,1,3691064,3696482,+
290,CP009748.1,1,3655822,3661239,+
289,CP009749.1,1,3637902,3651097,+
289,CP009611.1,1,3660461,3673674,+
289,CP009748.1,1,3626640,3639835,+
288,CP009749.1,1,3615276,3621356,+
288,CP009611.1,1,3637833,3643914,+
288,CP009748.1,1,3604004,3610082,+
287,CP009749.1,1,3585844,3591696,+
287,CP009611.1,1,3608403,3614255,+
287,CP009748.1,1,3579424,3585276,+
286,CP009749.1,1,3537807,3542925,+
286,CP009611.1,1,3560366,3565484,+
286,CP009748.1,1,3531393,3536508,+
285,CP009749.1,1,3522293,3536368,+
285,CP009611.1,1,3544885,3558967,+
285,CP009748.1,1,3515794,3530705,+
284,CP009749.1,1,3512993,3520596,+
284,CP009611.1,1,3535586,3543188,+
284,CP009748.1,1,3506507,3514096,+
283,CP009749.1,1,3471280,3495452,+
283,CP009611.1,1,3496319,3520454,+
283,CP009748.1,1,3464991,3489109,+
282,CP009749.1,1,3451132,3470757,+
282,CP009611.1,1,3476173,3495796,+
282,CP009748.1,1,3444870,3464472,+
281,CP009749.1,1,3423680,3437119,+
281,CP009611.1,1,3448734,3462161,+
281,CP009748.1,1,3416817,3430311,+
280,CP009749.1,1,3397438,3403214,+
280,CP009611.1,1,3422353,3428129,+
280,CP009748.1,1,3390451,3396227,+
279,CP009749.1,1,3365163,3389893,+
279,CP009611.1,1,3387519,3412246,+
279,CP009748.1,1,3356896,3381623,+
278,CP009749.1,1,3356813,3362320,+
278,CP009611.1,1,3379163,3384660,+
278,CP009748.1,1,3348597,3354093,+
277,CP009749.1,1,3335720,3342171,+
277,CP009611.1,1,3359087,3364522,+
277,CP009748.1,1,3327788,3333184,+
276,CP009749.1,1,3313553,3331200,+
276,CP009611.1,1,3336922,3354571,+
276,CP009748.1,1,3303455,3321106,+
275,CP009749.1,1,3300727,3312756,+
275,CP009611.1,1,3324098,3336126,+
275,CP009748.1,1,3290626,3302661,+
274,CP009749.1,1,3265409,3272047,+
274,CP009611.1,1,3287491,3294129,+
274,CP009748.1,1,3260648,3267254,+
273,CP009749.1,1,3257334,3265408,+
273,CP009611.1,1,3270667,3278730,+
273,CP009611.1,1,3279438,3287490,+
273,CP009748.1,1,3252571,3260647,+
272,CP009749.1,1,3250262,3256746,+
272,CP009611.1,1,3263595,3270079,+
272,CP009748.1,1,3245496,3251983,+
271,CP009749.1,1,3236203,3245504,+
271,CP009611.1,1,3247779,3257083,+
271,CP009748.1,1,3231432,3240744,+
270,CP009749.1,1,3166329,3172918,+
270,CP009611.1,1,3173189,3179781,+
270,CP009748.1,1,3160679,3167268,+
