Genome,Length
CP009796.1,4079669
CP007800.1,4188369
AL009126.3,4215606
CP002468.1,4093599
CP004019.1,4061186
CP002906.1,4011896
CP010052.1,4215619
CP010053.1,4215367
CP008698.1,4193640
CP007409.1,4039104
CP006881.1,4033459
CP003329.1,4215610
CP005997.1,4057487
CP009749.1,3959851
CP002905.1,4207175
AP011541.2,4105323
CP009611.1,3981658
CP002183.1,4027630
AP012496.1,4043042
CP004405.1,4021944
CP010314.1,4195102
CP003783.1,4146839
CP003695.1,4043754
CP009748.1,3876230
